Date,Universe Return,Risk free rate,Rm-Rf,SMB,HML,WML
07/1988,-0.68,0.53,-1.2,-0.08,1.78,1.16
08/1988,-2.84,0.54,-3.38,0.42,0.36,0.09
09/1988,4.29,0.57,3.72,-0.96,-1.83,-0.45
10/1988,1.19,0.58,0.61,-2.1,1.47,-0.09
11/1988,-1.71,0.59,-2.3,-0.98,0.68,-0.13
12/1988,2.37,0.62,1.75,2.3,-2.06,-0.31
01/1989,6.52,0.65,5.87,-1.53,-0.05,-0.08
02/1989,-2.48,0.67,-3.15,3.55,1.42,-0.4
03/1989,1.58,0.68,0.9,0.79,-0.65,3.15
04/1989,5.06,0.71,4.35,-0.81,-1.85,1.27
05/1989,4.37,0.7,3.68,-0.28,-0.48,1.75
06/1989,-0.65,0.67,-1.33,-0.81,2.12,1.46
07/1989,8.17,0.66,7.5,-4.28,-2.26,5.56
08/1989,2.1,0.64,1.46,0.52,-0.37,-0.85
09/1989,-0.44,0.64,-1.08,1.28,-2.15,4.55
10/1989,-2.41,0.62,-3.03,-2.47,-0.52,1.69
11/1989,1.68,0.61,1.06,-0.78,-1.36,2.2
12/1989,2.13,0.62,1.52,-1.41,-1.7,2.45
01/1990,-6.47,0.62,-7.08,-0.39,2.68,-2.33
02/1990,1.47,0.62,0.86,1.2,-0.66,0.08
03/1990,2.99,0.62,2.37,1.1,-2.09,0.8
04/1990,-2.57,0.63,-3.21,0.32,-2.73,2.01
05/1990,8.78,0.63,8.15,-2.67,-3.46,2.96
06/1990,-0.24,0.63,-0.87,1.66,-1.64,2.41
07/1990,-1.09,0.62,-1.72,-1.81,-0.47,5.56
08/1990,-9.38,0.62,-10,-1.3,0.4,1.13
09/1990,-5.62,0.6,-6.22,-1.24,-1.01,4.73
10/1990,-1.09,0.6,-1.68,-3.35,-1.96,6.51
11/1990,7.9,0.58,7.32,-0.86,-1.5,-5.28
12/1990,3.28,0.57,2.71,0.3,0.06,-0.78
01/1991,5.95,0.55,5.4,3.46,0.19,-6.28
02/1991,7.91,0.51,7.4,5.48,0.7,-5.04
03/1991,3.07,0.48,2.59,2.25,0.77,2.63
04/1991,0.8,0.48,0.32,0.05,0.84,-1.34
05/1991,4.5,0.46,4.04,-0.82,-0.57,0.82
06/1991,-4.09,0.45,-4.54,1.25,0.31,0.35
07/1991,5.34,0.46,4.89,-1.74,-3.75,4.5
08/1991,2.93,0.45,2.48,1.3,-2.69,2.5
09/1991,-1.37,0.44,-1.81,1.91,0.79,0.78
10/1991,1.35,0.43,0.92,0.63,-0.73,1.95
11/1991,-3.03,0.41,-3.44,0.62,-2.06,1.46
12/1991,11.3,0.38,10.92,-3.68,-2.37,6.78
01/1992,-0.88,0.34,-1.22,8.88,5.02,-2.92
02/1992,0.88,0.31,0.57,1.84,4.07,-1.47
03/1992,-1.62,0.31,-1.93,-0.73,3.97,-0.06
04/1992,2.52,0.33,2.18,-4.87,1.97,-2.89
05/1992,0.92,0.31,0.61,0.59,0.19,0.57
06/1992,-1.59,0.3,-1.89,-1.7,0.72,0.39
07/1992,4.46,0.3,4.15,-0.59,-0.53,0.74
08/1992,-1.75,0.27,-2.02,1.29,-1.39,-0.24
09/1992,1.34,0.26,1.08,2.4,-0.99,1.58
10/1992,1.17,0.24,0.92,1.72,-2.47,1.72
11/1992,3.96,0.23,3.73,3.93,-2.28,1.15
12/1992,1,0.26,0.75,2.17,3.2,4.37
01/1993,-0.09,0.27,-0.36,3.04,5.77,2.59
02/1993,0.14,0.25,-0.11,-2.38,6.21,2.51
03/1993,2.01,0.24,1.76,0.82,3.39,3.44
04/1993,-2.51,0.24,-2.75,-0.67,2.91,-0.44
05/1993,3.08,0.24,2.84,1.94,-3.84,0.86
06/1993,-0.76,0.24,-1.01,0.02,2.07,4.18
07/1993,-0.92,0.25,-1.18,2.65,1.79,3.66
08/1993,3.79,0.25,3.54,1,-0.69,2.08
09/1993,-0.76,0.25,-1.01,3.88,-0.02,3.28
10/1993,2.35,0.24,2.1,2.1,-1.52,-0.53
11/1993,-0.35,0.25,-0.6,-2.39,-0.36,-5.01
12/1993,1.7,0.26,1.45,0.78,0.16,1.25
01/1994,2.87,0.25,2.61,1.15,1.11,0
02/1994,-2.07,0.25,-2.32,2.7,-1.23,0.33
03/1994,-4.3,0.26,-4.56,-1.32,1.13,-2.12
04/1994,1.25,0.29,0.96,-0.7,1.64,-0.45
05/1994,1.2,0.31,0.9,-1.92,1.77,-1.36
06/1994,-2.43,0.34,-2.77,0.31,1.62,-1.45
07/1994,2.91,0.34,2.57,-1.83,0.71,-0.03
08/1994,4.22,0.36,3.86,0.91,-2.57,1.35
09/1994,-2.02,0.37,-2.39,4.17,-3.14,0.67
10/1994,2.12,0.38,1.74,-1.39,-2.19,2.08
11/1994,-3.86,0.4,-4.27,1.18,-0.61,-0.69
12/1994,1.47,0.43,1.04,0.78,-0.48,1.72
01/1995,2.39,0.46,1.93,-1.63,2.34,-1.35
02/1995,4.2,0.47,3.73,-0.69,0.9,-1.09
03/1995,2.39,0.47,1.92,0.04,-2.01,1.21
04/1995,2.35,0.47,1.89,0.61,1.32,2.68
05/1995,3.61,0.46,3.15,-0.95,2.21,-1.17
06/1995,2.8,0.46,2.33,3.23,-3.2,2.85
07/1995,3.34,0.45,2.9,3.09,-1.4,2.48
08/1995,1.39,0.44,0.94,2.03,1.59,0.23
09/1995,5.26,0.44,4.82,-2.57,-1.39,1.44
10/1995,-0.9,0.43,-1.33,-2.94,1.04,2.78
11/1995,4.28,0.43,3.85,-2.06,0.14,-0.8
12/1995,1.18,0.44,0.74,1.06,0.11,2.86
01/1996,2.92,0.42,2.5,-1.11,-0.78,2.19
02/1996,1.21,0.41,0.8,1.68,0.41,0.63
03/1996,0.98,0.4,0.59,2.08,0.09,-1.93
04/1996,1.88,0.4,1.48,6.59,-5.2,-1.33
05/1996,2.74,0.41,2.33,3.51,-1.87,1.64
06/1996,-0.21,0.41,-0.62,-4.26,3.07,1.45
07/1996,-5.75,0.42,-6.16,-2.75,5.87,-0.83
08/1996,2.93,0.42,2.51,1.23,0.01,0.38
09/1996,5.29,0.41,4.87,-1.95,-1.72,1.53
10/1996,0.98,0.42,0.56,-2.55,5.29,3.67
11/1996,7.78,0.41,7.37,-4.61,1.19,-1.7
12/1996,-0.09,0.41,-0.5,2.52,0.33,1.35
01/1997,4.76,0.4,4.36,0.38,-1.66,1.89
02/1997,0.91,0.41,0.49,-3.13,4.9,-0.6
03/1997,-4.8,0.41,-5.21,0.24,4.53,1.4
04/1997,3.77,0.42,3.35,-5.55,-0.05,5.61
05/1997,7.37,0.42,6.95,3.49,-4.28,-6.78
06/1997,3.84,0.42,3.42,1.34,3.34,3.94
07/1997,7.96,0.4,7.56,-2.13,0.27,3.39
08/1997,-3.58,0.41,-3.99,7.61,0.82,-2.19
09/1997,5.92,0.42,5.5,3.71,-0.44,0.5
10/1997,-2.92,0.41,-3.33,0.57,2.76,0.19
11/1997,4.34,0.4,3.94,-4.96,0.97,-0.08
12/1997,2.06,0.42,1.64,-4.09,5.32,3.75
01/1998,0.65,0.42,0.23,0.03,-1.92,-1.59
02/1998,7.23,0.41,6.81,-1.5,-0.52,-0.88
03/1998,5.04,0.42,4.62,-0.3,-0.12,2.33
04/1998,0.85,0.41,0.44,1.95,0.64,0.75
05/1998,-2.65,0.41,-3.06,-1.19,1.78,3.01
06/1998,2.64,0.41,2.23,-4.13,-1.07,6.08
07/1998,-2.26,0.41,-2.67,-2.33,-1.1,3.72
08/1998,-15.43,0.4,-15.83,-5.17,5.09,2.58
09/1998,6.79,0.4,6.38,-0.39,-3.99,-4.15
10/1998,8.71,0.39,8.32,-4.64,-3.99,-4.57
11/1998,6.14,0.33,5.8,2.84,-3.2,-0.74
12/1998,5.52,0.36,5.16,-1.3,-4.45,8.07
01/1999,3.1,0.36,2.73,4.4,-5.72,0.82
02/1999,-3.42,0.35,-3.78,-2.43,1.67,1.01
03/1999,2.98,0.36,2.62,-6.13,-0.31,-1.65
04/1999,6.1,0.37,5.73,-0.13,4.46,-9.17
05/1999,-0.18,0.35,-0.53,3.48,1.39,-5.08
06/1999,4.17,0.37,3.8,2.54,-2.4,3.8
07/1999,-3.09,0.37,-3.46,5.01,-0.51,1.38
08/1999,-0.95,0.38,-1.33,0.55,-1.54,2.91
09/1999,-3.14,0.39,-3.53,3.35,-3.62,4.41
10/1999,5.78,0.39,5.4,-4.33,-4.36,4.6
11/1999,2.84,0.4,2.45,7.99,-7.45,5.16
12/1999,4.03,0.41,3.62,5.91,-8.44,11.81
01/2000,-3.58,0.43,-4.01,10.39,-4.7,1.84
02/2000,-3.8,0.43,-4.23,20.62,-13.39,23.77
03/2000,10.8,0.45,10.34,-13.47,3.86,-6.11
04/2000,-2.04,0.46,-2.5,-6.95,9.06,-10.44
05/2000,-0.38,0.46,-0.85,-6.72,6.87,-10.19
06/2000,0.98,0.48,0.5,12.29,-5.5,14.58
07/2000,-1.43,0.47,-1.9,-2.83,7.65,-0.47
08/2000,6.6,0.48,6.12,0.83,-3.27,6.15
09/2000,-4.25,0.5,-4.74,-0.57,6.75,-1.06
10/2000,-1.9,0.49,-2.38,-4.85,3.77,-6.45
11/2000,-10.34,0.5,-10.84,-2.54,11.56,-2.06
12/2000,-0.13,0.5,-0.63,-5.27,9.97,6.4
01/2001,11.36,0.47,10.89,16.57,-16.2,-31.56
02/2001,-10.37,0.42,-10.8,0.67,11.95,18
03/2001,-8.52,0.4,-8.92,1.1,8.63,10.31
04/2001,10.16,0.36,9.8,0.92,-6.72,-8.74
05/2001,0.42,0.32,0.1,7.62,2.36,4.78
06/2001,-0.92,0.3,-1.22,4.32,-0.89,-1.96
07/2001,-1.52,0.29,-1.81,0.53,1.22,6.21
08/2001,-6.79,0.29,-7.08,2.58,5.76,7.95
09/2001,-10.9,0.28,-11.18,-0.73,2.36,10.81
10/2001,6.39,0.24,6.15,5.25,-5.59,-8.93
11/2001,9.7,0.18,9.52,-0.89,-0.87,-8.92
12/2001,0.67,0.18,0.49,5.74,0.54,-2.82
01/2002,-2.22,0.18,-2.4,3.78,4.98,2.68
02/2002,-4.41,0.14,-4.55,-1.08,4.83,4.21
03/2002,6.82,0.14,6.68,2.41,0.44,0.42
04/2002,-7.84,0.15,-7.99,6.49,7.51,10.5
05/2002,-2.16,0.14,-2.3,-1.11,3.96,4.76
06/2002,-9.46,0.14,-9.61,4.88,5.53,8.47
07/2002,-8.73,0.14,-8.87,-1.01,-1.58,4
08/2002,1.53,0.14,1.39,-3.59,3.19,0.71
09/2002,-11.59,0.13,-11.72,3.9,1.58,8.4
10/2002,9.56,0.13,9.42,-5.73,-2.34,-9.06
11/2002,8.73,0.13,8.6,3.67,-1.8,-18.41
12/2002,-6.39,0.12,-6.51,2.39,2.57,10.9
01/2003,-2.88,0.1,-2.98,3.26,0.18,0.46
02/2003,-2.23,0.1,-2.33,0.36,0,3
03/2003,1.21,0.1,1.11,0.77,-1.99,2.41
04/2003,11.68,0.09,11.58,-0.88,-1.74,-8.59
05/2003,7.45,0.1,7.36,8.03,-3.04,-11.44
06/2003,1.33,0.09,1.24,5.89,-1.47,-1.61
07/2003,2.18,0.08,2.11,6.82,0.33,1.38
08/2003,3.05,0.07,2.98,1.98,0.43,0.16
09/2003,-1.04,0.08,-1.12,4.69,0.04,0.29
10/2003,5.49,0.08,5.41,2.96,2.62,5.18
11/2003,1.31,0.08,1.23,2.57,2.96,1.32
12/2003,5.15,0.08,5.08,-2.06,1.58,-4.62
01/2004,2.18,0.07,2.11,4.57,2.54,3.16
02/2004,1.69,0.07,1.62,-0.94,1.25,-1
03/2004,-1.22,0.08,-1.3,0.97,0.96,0.22
04/2004,-1.33,0.08,-1.41,-1.51,-2.15,-4.55
05/2004,1.1,0.08,1.02,-1.62,0.87,2.94
06/2004,2.06,0.09,1.97,0.96,1.26,0.77
07/2004,-3.83,0.11,-3.93,-3.46,4.48,-1.3
08/2004,0.15,0.11,0.04,-1.39,0.04,-0.42
09/2004,1.77,0.12,1.65,3.04,0.37,4.5
10/2004,1.67,0.14,1.53,0.38,-0.07,-1.75
11/2004,4.6,0.14,4.46,3.64,1.13,2.97
12/2004,3.86,0.17,3.69,1.94,0.04,-2.51
01/2005,-2.74,0.18,-2.92,-1.15,2.5,3.78
02/2005,2.07,0.19,1.87,-1.34,1.57,2.18
03/2005,-1.68,0.21,-1.9,-2.57,2.24,0.59
04/2005,-2.15,0.23,-2.37,-3.11,-1.24,-0.1
05/2005,3.86,0.23,3.63,1.22,-1.36,-1.17
06/2005,0.51,0.24,0.27,3.2,2.52,2.12
07/2005,4.31,0.25,4.06,3.35,-1.58,-0.12
08/2005,-1.15,0.26,-1.41,-0.07,1.18,2.22
09/2005,0.61,0.28,0.33,0.03,0.76,2.26
10/2005,-1.43,0.28,-1.71,-1.41,0.32,-1.19
11/2005,4.05,0.31,3.75,-0.17,-0.27,0.37
12/2005,-0.04,0.32,-0.36,0.65,0.62,0.29
01/2006,3.02,0.32,2.7,6.02,-0.71,1.86
02/2006,0.54,0.35,0.19,0.49,-0.73,-0.33
03/2006,1.79,0.36,1.43,2.64,0.69,1.62
